initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 169, G_loss: 0.33719, step_acc: 7.07327, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 170, G_loss: 0.33688, step_acc: 7.08729, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 171, G_loss: 0.33648, step_acc: 7.09529, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 172, G_loss: 0.33569, step_acc: 7.10383, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 173, G_loss: 0.33538, step_acc: 7.10273, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 174, G_loss: 0.33503, step_acc: 7.13801, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 175, G_loss: 0.33336, step_acc: 7.15697, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 176, G_loss: 0.33185, step_acc: 7.16596, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 177, G_loss: 0.33125, step_acc: 7.17023, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 178, G_loss: 0.33085, step_acc: 7.17465, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 179, G_loss: 0.33053, step_acc: 7.17881, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 180, G_loss: 0.33020, step_acc: 7.18397, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 181, G_loss: 0.32988, step_acc: 7.18792, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 182, G_loss: 0.32958, step_acc: 7.19094, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 183, G_loss: 0.32932, step_acc: 7.19658, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 184, G_loss: 0.32889, step_acc: 7.21295, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 185, G_loss: 0.32813, step_acc: 7.22939, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 186, G_loss: 0.32713, step_acc: 7.23857, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 187, G_loss: 0.32660, step_acc: 7.24081, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 188, G_loss: 0.32637, step_acc: 7.24776, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 189, G_loss: 0.32622, step_acc: 7.24972, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 190, G_loss: 0.32581, step_acc: 7.26222, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 191, G_loss: 0.32521, step_acc: 7.27552, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 192, G_loss: 0.32457, step_acc: 7.28399, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 193, G_loss: 0.32414, step_acc: 7.28705, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 194, G_loss: 0.32380, step_acc: 7.29445, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 195, G_loss: 0.32353, step_acc: 7.29587, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 196, G_loss: 0.32326, step_acc: 7.30172, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 197, G_loss: 0.32302, step_acc: 7.30342, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 198, G_loss: 0.32277, step_acc: 7.31138, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 199, G_loss: 0.32248, step_acc: 7.31010, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 200, G_loss: 0.32225, step_acc: 7.31867, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 201, G_loss: 0.32207, step_acc: 7.31716, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 202, G_loss: 0.32177, step_acc: 7.32746, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 203, G_loss: 0.32149, step_acc: 7.32857, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 204, G_loss: 0.32136, step_acc: 7.33232, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 205, G_loss: 0.32100, step_acc: 7.34621, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 206, G_loss: 0.32047, step_acc: 7.35374, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 207, G_loss: 0.32008, step_acc: 7.36164, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 208, G_loss: 0.31977, step_acc: 7.36311, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 209, G_loss: 0.31955, step_acc: 7.37031, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 210, G_loss: 0.31931, step_acc: 7.37294, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 211, G_loss: 0.31901, step_acc: 7.38110, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 212, G_loss: 0.31869, step_acc: 7.38611, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 213, G_loss: 0.31830, step_acc: 7.39309, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 214, G_loss: 0.31799, step_acc: 7.39715, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 215, G_loss: 0.31774, step_acc: 7.40694, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 216, G_loss: 0.31738, step_acc: 7.40898, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 217, G_loss: 0.31716, step_acc: 7.41615, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 218, G_loss: 0.31699, step_acc: 7.41296, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 219, G_loss: 0.31679, step_acc: 7.42044, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 220, G_loss: 0.31680, step_acc: 7.36700, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 221, G_loss: 0.31777, step_acc: 7.41706, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 222, G_loss: 0.31522, step_acc: 7.46502, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 223, G_loss: 0.31341, step_acc: 7.53629, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 224, G_loss: 0.31084, step_acc: 7.65221, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 225, G_loss: 0.30696, step_acc: 7.70440, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 226, G_loss: 0.30487, step_acc: 7.73452, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 227, G_loss: 0.30328, step_acc: 7.75453, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 228, G_loss: 0.30227, step_acc: 7.79194, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 229, G_loss: 0.30110, step_acc: 7.80588, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 230, G_loss: 0.30034, step_acc: 7.82372, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 231, G_loss: 0.29953, step_acc: 7.83482, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 232, G_loss: 0.29886, step_acc: 7.84999, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 233, G_loss: 0.29839, step_acc: 7.85611, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 234, G_loss: 0.29779, step_acc: 7.91455, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 235, G_loss: 0.29546, step_acc: 7.98779, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 236, G_loss: 0.29260, step_acc: 8.04217, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 237, G_loss: 0.29022, step_acc: 8.14963, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 238, G_loss: 0.28645, step_acc: 8.21804, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 239, G_loss: 0.28353, step_acc: 8.30319, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 240, G_loss: 0.28038, step_acc: 8.42808, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 241, G_loss: 0.27610, step_acc: 8.50542, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 242, G_loss: 0.27314, step_acc: 8.55187, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 243, G_loss: 0.27121, step_acc: 8.61215, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 244, G_loss: 0.26892, step_acc: 8.70841, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 245, G_loss: 0.26572, step_acc: 8.79448, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 246, G_loss: 0.26246, step_acc: 8.83815, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 247, G_loss: 0.26083, step_acc: 8.86722, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 248, G_loss: 0.25943, step_acc: 8.90692, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 249, G_loss: 0.25809, step_acc: 8.93627, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 250, G_loss: 0.25702, step_acc: 8.96989, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 251, G_loss: 0.25579, step_acc: 9.00549, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 252, G_loss: 0.25449, step_acc: 9.09264, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 253, G_loss: 0.25216, step_acc: 9.13476, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 254, G_loss: 0.25064, step_acc: 9.17551, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 255, G_loss: 0.24926, step_acc: 9.20513, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 256, G_loss: 0.24811, step_acc: 9.26052, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 257, G_loss: 0.24630, step_acc: 9.30760, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 258, G_loss: 0.24467, step_acc: 9.35747, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 259, G_loss: 0.24327, step_acc: 9.44613, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 260, G_loss: 0.24059, step_acc: 9.61370, grid_scale: 1 / 5, strokes: 5 / 9
