initialize network with normal
loading renderer from pre-trained checkpoint...
begin drawing...
iteration step 192, G_loss: 0.23800, step_acc: 9.37111, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 193, G_loss: 0.23761, step_acc: 9.38876, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 194, G_loss: 0.23730, step_acc: 9.38068, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 195, G_loss: 0.23705, step_acc: 9.42635, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 196, G_loss: 0.23524, step_acc: 9.51503, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 197, G_loss: 0.23279, step_acc: 9.58733, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 198, G_loss: 0.23068, step_acc: 9.61649, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 199, G_loss: 0.22946, step_acc: 9.65907, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 200, G_loss: 0.22822, step_acc: 9.70189, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 201, G_loss: 0.22680, step_acc: 9.72745, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 202, G_loss: 0.22586, step_acc: 9.74573, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 203, G_loss: 0.22498, step_acc: 9.78118, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 204, G_loss: 0.22390, step_acc: 9.82759, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 205, G_loss: 0.22254, step_acc: 9.89143, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 206, G_loss: 0.22069, step_acc: 9.95552, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 207, G_loss: 0.21887, step_acc: 10.02378, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 208, G_loss: 0.21685, step_acc: 10.10241, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 209, G_loss: 0.21461, step_acc: 10.15154, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 210, G_loss: 0.21311, step_acc: 10.23242, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 211, G_loss: 0.21093, step_acc: 10.33375, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 212, G_loss: 0.20843, step_acc: 10.40930, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 213, G_loss: 0.20629, step_acc: 10.48271, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 214, G_loss: 0.20447, step_acc: 10.60778, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 215, G_loss: 0.20155, step_acc: 10.74082, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 216, G_loss: 0.19909, step_acc: 10.85664, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 217, G_loss: 0.19639, step_acc: 10.99159, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 218, G_loss: 0.19360, step_acc: 11.08109, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 219, G_loss: 0.19150, step_acc: 11.17493, grid_scale: 1 / 5, strokes: 4 / 9
iteration step 220, G_loss: 0.18962, step_acc: 11.46118, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 221, G_loss: 0.18619, step_acc: 11.75369, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 222, G_loss: 0.18081, step_acc: 11.91821, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 223, G_loss: 0.17758, step_acc: 12.00338, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 224, G_loss: 0.17585, step_acc: 12.08447, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 225, G_loss: 0.17427, step_acc: 12.16849, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 226, G_loss: 0.17281, step_acc: 12.25123, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 227, G_loss: 0.17155, step_acc: 12.31951, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 228, G_loss: 0.17045, step_acc: 12.37977, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 229, G_loss: 0.16925, step_acc: 12.44018, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 230, G_loss: 0.16822, step_acc: 12.47706, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 231, G_loss: 0.16741, step_acc: 12.53106, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 232, G_loss: 0.16660, step_acc: 12.55151, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 233, G_loss: 0.16600, step_acc: 12.58937, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 234, G_loss: 0.16544, step_acc: 12.61346, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 235, G_loss: 0.16497, step_acc: 12.65668, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 236, G_loss: 0.16432, step_acc: 12.69768, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 237, G_loss: 0.16364, step_acc: 12.73300, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 238, G_loss: 0.16305, step_acc: 12.75258, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 239, G_loss: 0.16261, step_acc: 12.79001, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 240, G_loss: 0.16201, step_acc: 12.81123, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 241, G_loss: 0.16156, step_acc: 12.83774, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 242, G_loss: 0.16120, step_acc: 12.84974, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 243, G_loss: 0.16093, step_acc: 12.93947, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 244, G_loss: 0.15964, step_acc: 12.97514, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 245, G_loss: 0.15897, step_acc: 13.06318, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 246, G_loss: 0.15787, step_acc: 13.11166, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 247, G_loss: 0.15712, step_acc: 13.21015, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 248, G_loss: 0.15589, step_acc: 13.38211, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 249, G_loss: 0.15362, step_acc: 13.51873, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 250, G_loss: 0.15173, step_acc: 13.62901, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 251, G_loss: 0.15022, step_acc: 13.69223, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 252, G_loss: 0.14923, step_acc: 13.75353, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 253, G_loss: 0.14832, step_acc: 13.79089, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 254, G_loss: 0.14774, step_acc: 13.82384, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 255, G_loss: 0.14731, step_acc: 13.87562, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 256, G_loss: 0.14675, step_acc: 13.91818, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 257, G_loss: 0.14626, step_acc: 13.96687, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 258, G_loss: 0.14554, step_acc: 14.01578, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 259, G_loss: 0.14485, step_acc: 14.03697, grid_scale: 1 / 5, strokes: 5 / 9
iteration step 260, G_loss: 0.14436, step_acc: 14.06703, grid_scale: 1 / 5, strokes: 5 / 9
